Event,Time_CPU,Time_RTC,Ardn_time[ms],ADC[0-0123],SiPM[mV],Deadtime[ms],Temp[C]
2,10:58:23,0:11:3,4269,211,35.96,5,28.85
3,10:58:24,0:11:4,7408,543,164.77,10,29.17
4,10:58:24,0:11:4,7751,96,21.67,15,28.31
5,10:58:25,0:11:5,9259,152,26.78,20,28.85
6,10:58:27,0:11:6,10047,96,21.67,25,28.31
7,10:58:27,0:11:7,10186,56,16.76,30,28.31
8,10:58:28,0:11:8,11867,67,18.51,35,28.31
9,10:58:29,0:11:9,12923,574,181.47,40,28.31
10,10:58:30,0:11:10,13672,49,15.48,45,28.31
11,10:58:56,0:11:12,15890,56,16.76,50,28.85
12,10:58:59,0:11:15,18758,176,30.09,55,29.38
13,10:59:01,0:11:17,20530,300,52.79,60,29.71
14,10:59:02,0:11:18,21534,440,109.25,65,29.38
15,10:59:03,0:11:20,23283,63,17.91,70,28.31
16,10:59:04,0:11:21,24198,96,21.67,75,28.31
17,10:59:05,0:11:21,24455,112,22.94,80,28.31
18,10:59:06,0:11:22,25511,163,28.20,85,27.56
19,10:59:06,0:11:22,25913,56,16.76,90,29.38
20,10:59:08,0:11:24,28077,319,57.64,95,26.48
21,10:59:10,0:11:26,29593,131,24.54,100,29.38
22,10:59:11,0:11:27,30667,96,21.67,105,29.92
23,10:59:11,0:11:27,30915,88,20.96,110,29.38
24,10:59:11,0:11:28,31145,174,29.79,115,28.85
25,10:59:12,0:11:28,31202,96,21.67,120,28.31
26,10:59:14,0:11:30,33941,384,80.08,125,29.92
27,10:59:14,0:11:31,34307,142,25.64,130,28.31
28,10:59:15,0:11:31,34498,207,35.26,135,29.92
29,10:59:15,0:11:32,35166,284,49.41,140,28.10
30,10:59:16,0:11:32,35555,51,15.86,145,29.92
31,10:59:17,0:11:34,37252,302,53.30,150,29.92
32,10:59:19,0:11:35,38560,62,17.75,155,29.71
33,10:59:20,0:11:36,39499,48,15.29,160,29.38
34,10:59:20,0:11:36,39570,78,19.92,165,29.38
35,10:59:20,0:11:36,39663,174,29.79,170,28.31
36,10:59:22,0:11:38,41615,270,46.71,175,28.31
37,10:59:25,0:11:41,44429,252,43.42,180,29.38
38,10:59:26,0:11:42,45770,263,45.37,185,28.85
39,10:59:27,0:11:43,47180,184,31.36,190,28.31
40,10:59:28,0:11:44,47570,56,16.76,195,28.31
41,10:59:29,0:11:45,48532,332,61.17,200,29.38
42,10:59:29,0:11:45,49132,216,36.85,205,29.92
43,10:59:31,0:11:47,50608,435,104.92,210,28.63
44,10:59:33,0:11:49,52552,268,46.26,215,29.71
45,10:59:33,0:11:49,52764,120,23.58,220,29.38
46,10:59:33,0:11:50,53240,344,64.67,225,29.92
47,10:59:35,0:11:51,54927,135,24.92,230,28.31
48,10:59:39,0:11:55,58954,207,35.26,235,29.92
49,10:59:40,0:11:56,59938,92,21.32,240,29.92
50,10:59:42,0:11:59,62236,62,17.75,245,28.31
51,10:59:43,0:11:59,62918,127,24.18,250,29.92
52,10:59:45,0:12:2,65248,62,17.75,255,28.85
53,10:59:46,0:12:2,65980,188,32.01,260,29.38
54,10:59:47,0:12:4,67336,216,36.85,265,29.38
55,10:59:48,0:12:4,67843,102,22.15,270,28.31
56,10:59:51,0:12:8,71304,255,43.96,275,28.63
57,10:59:52,0:12:8,72104,240,41.21,280,29.92
58,10:59:52,0:12:9,72392,60,17.43,285,28.85
59,10:59:53,0:12:9,72958,704,326.52,290,28.31
60,10:59:58,0:12:14,77433,352,66.89,295,29.92
61,10:59:58,0:12:15,78143,291,50.97,300,29.38
62,11:00:00,0:12:16,79415,225,38.48,305,29.92
63,11:00:00,0:12:16,79513,120,23.58,310,29.92
64,11:00:00,0:12:17,79731,385,80.11,315,29.17
65,11:00:01,0:12:17,79992,147,26.19,320,28.85
66,11:00:01,0:12:17,81074,415,95.00,325,28.63
67,11:00:02,0:12:18,81102,647,246.69,330,28.42
68,11:00:04,0:12:20,83665,195,33.17,335,28.63
69,11:00:04,0:12:21,84073,480,130.21,340,29.92
70,11:00:05,0:12:22,85157,335,61.77,345,29.92
71,11:00:07,0:12:23,86615,231,39.55,350,29.38
72,11:00:07,0:12:23,86970,120,23.58,355,29.92
73,11:00:08,0:12:24,87942,63,17.91,360,29.92
74,11:00:09,0:12:25,88609,319,57.64,365,29.38
75,11:00:09,0:12:26,89128,207,35.26,370,29.92
76,11:00:10,0:12:26,89177,401,87.91,375,29.92
77,11:00:10,0:12:26,89481,67,18.51,380,29.71
78,11:00:10,0:12:27,90042,243,41.74,385,28.85
79,11:00:11,0:12:27,90229,444,109.09,390,29.92
80,11:00:11,0:12:27,90459,364,71.71,395,29.92
81,11:00:12,0:12:28,90469,487,132.65,400,29.92
82,11:00:12,0:12:28,90510,254,43.77,405,29.92
83,11:00:12,0:12:29,91216,327,59.28,410,29.92
84,11:00:15,0:12:32,95168,671,277.06,415,29.38
85,11:00:16,0:12:32,96092,339,62.98,420,29.92
86,11:00:16,0:12:33,96275,193,32.84,425,29.92
87,11:00:17,0:12:33,97036,300,52.79,430,29.92
88,11:00:20,0:12:36,99294,127,24.18,435,29.92
89,11:00:21,0:12:37,100938,121,23.66,440,29.92
90,11:00:22,0:12:38,101434,510,148.47,445,29.71
91,11:00:22,0:12:38,101953,60,17.43,450,29.92
92,11:00:23,0:12:39,102488,217,37.04,455,29.92
93,11:00:23,0:12:40,103256,207,35.26,460,29.92
94,11:00:25,0:12:41,104706,391,82.35,465,29.92
95,11:00:25,0:12:41,105070,254,43.77,470,29.92
96,11:00:27,0:12:43,106389,743,466.23,475,29.92
97,11:00:27,0:12:43,107047,56,16.76,480,29.92
98,11:00:28,0:12:44,107717,193,32.84,485,29.38
99,11:00:28,0:12:45,108331,376,76.43,490,29.92
100,11:00:32,0:12:48,111345,463,119.23,495,29.92
101,11:00:33,0:12:49,112488,89,21.05,500,29.92
102,11:00:33,0:12:50,113214,273,47.25,505,29.92
103,11:00:35,0:12:51,114719,359,69.86,510,29.92
104,11:00:36,0:12:52,115297,108,22.63,515,29.92
105,11:00:36,0:12:52,115531,115,23.18,520,29.92
106,11:00:36,0:12:53,116018,190,32.33,525,29.92
107,11:00:37,0:12:53,116845,227,38.83,530,29.92
108,11:00:37,0:12:54,116963,193,32.84,535,29.92
109,11:00:38,0:12:54,118005,92,21.32,540,29.92
110,11:00:39,0:12:55,118217,71,19.06,545,29.92
111,11:00:39,0:12:55,118423,63,17.91,550,29.92
112,11:00:40,0:12:56,120002,79,20.03,555,29.92
113,11:00:41,0:12:57,120212,337,62.30,560,29.92
114,11:00:41,0:12:57,120332,275,47.73,565,29.92
115,11:00:41,0:12:58,120787,92,21.32,570,29.92
116,11:00:42,0:12:58,121853,319,57.64,575,29.92
117,11:00:44,0:13:0,124026,255,43.96,580,29.92
118,11:00:45,0:13:1,124419,92,21.32,585,29.92
119,11:00:46,0:13:2,125913,135,24.92,590,29.92
120,11:00:50,0:13:6,129926,56,16.76,595,29.92
121,11:00:51,0:13:7,130794,88,20.96,600,29.92
122,11:00:54,0:13:10,133805,348,65.64,605,29.92
123,11:00:55,0:13:11,134398,287,50.23,610,29.92
124,11:00:55,0:13:12,135192,79,20.03,615,29.92
125,11:00:58,0:13:14,137934,358,69.10,620,29.92
126,11:00:59,0:13:15,138320,79,20.03,625,29.92
127,11:01:01,0:13:17,140600,723,388.29,630,29.92
