,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
0,10:58:15,0:10:55,"(0.267721545, 0.68842683, -10.211664644999999)","(-11.25, 24.15, 80.1)"
1,10:58:25,0:11:5,"(0.38245935, 0.15298374, -9.829205295)","(-11.549999999999999, 24.599999999999998, 79.8)"
2,10:59:00,0:11:16,"(-4.551266265, 8.87305692, -6.04285773)","(20.7, -11.25, 33.449999999999996)"
3,10:59:10,0:11:26,"(9.56148375, 2.0270345549999997, 0.573689025)","(-53.1, -25.5, 38.4)"
4,10:59:21,0:11:37,"(9.676221555, 2.256510165, 0.53544309)","(-42.6, 3.5999999999999996, 30.299999999999997)"
5,10:59:31,0:11:47,"(9.829205295, 2.14177236, 0.45895122)","(-42.15, 2.85, 29.849999999999998)"
6,10:59:41,0:11:58,"(9.79095936, 3.403888215, 1.4150995949999998)","(-42.0, 1.3499999999999999, 27.45)"
7,10:59:52,0:12:8,"(10.364648384999999, 0.38245935, 2.103526425)","(-44.25, 7.6499999999999995, 7.949999999999999)"
8,11:00:02,0:12:19,"(8.18463009, 0.49719715499999995, 2.3712479699999998)","(-42.15, 5.3999999999999995, 5.85)"
9,11:00:13,0:12:29,"(11.129567084999998, 0.68842683, 1.9887886199999998)","(-41.4, 5.7, 6.8999999999999995)"
10,11:00:23,0:12:40,"(9.867451229999999, 0.650180895, 2.4094939049999997)","(-40.5, 6.1499999999999995, 8.7)"
11,11:00:34,0:12:50,"(-9.370254075, -0.22947561, 0.22947561)","(41.4, 10.65, 32.699999999999996)"
12,11:00:44,0:13:1,"(-9.676221555, -0.30596748, -1.032640245)","(40.949999999999996, 14.7, 34.199999999999996)"
13,11:00:55,0:13:11,"(-9.523237815, 0.45895122, -0.038245935)","(40.949999999999996, 12.15, 33.15)"
14,11:01:06,0:13:22,"(0.38245935, -0.45895122, 10.058680905000001)","(2.4, 8.4, -20.099999999999998)"
15,11:01:16,0:13:32,"(-9.637975619999999, -0.344213415, -0.53544309)","(3.5999999999999996, 16.65, 18.15)"
16,11:01:27,0:13:43,"(-0.7649187, 0.879656505, -10.09692684)","(-1.5, 8.85, 60.3)"
17,11:01:37,0:13:53,"(-9.484991879999999, -1.68282114, -0.956148375)","(40.5, 29.099999999999998, 30.599999999999998)"
18,11:01:48,0:14:4,"(-1.109132115, 1.14737805, -9.752713425)","(41.85, -2.85, 97.2)"
19,11:01:58,0:14:14,"(-0.45895122, 10.32640245, -1.14737805)","(4.95, -25.95, 38.25)"
20,11:02:09,0:14:25,"(-9.484991879999999, -0.61193496, -0.9943943099999999)","(34.199999999999996, 16.65, 33.449999999999996)"
21,11:02:19,0:14:35,"(0.7649187, -9.982189035, -1.491591465)","(-28.65, 71.85, 48.15)"
22,11:02:30,0:14:46,"(-9.637975619999999, -0.49719715499999995, -1.1856239849999999)","(39.75, 30.15, 27.15)"
23,11:02:41,0:14:57,"(-9.79095936, -0.650180895, -0.07649187)","(40.949999999999996, 7.05, 15.0)"
24,11:02:51,0:15:7,"(-9.293762205, -0.344213415, 0.420705285)","(36.3, -69.45, -44.25)"
25,11:03:02,0:15:18,"(-9.523237815, -0.420705285, 0.114737805)","(40.8, 9.299999999999999, 30.75)"
26,11:03:12,0:15:28,"(-9.829205295, -0.15298374, 0.68842683)","(36.6, 2.25, 24.15)"
27,11:03:23,0:15:39,"(-9.446745945, -1.7975589449999998, -2.8301991899999996)","(35.4, 32.4, 15.899999999999999)"
28,11:03:33,0:15:49,"(-9.71446749, -1.491591465, 0.49719715499999995)","(39.449999999999996, 12.75, 8.549999999999999)"
29,11:03:44,0:16:0,"(-7.763924804999999, -4.857233745, -2.21826423)","(37.65, 14.25, 17.7)"
30,11:03:54,0:16:10,"(-9.523237815, -1.1856239849999999, 0.61193496)","(38.55, 12.0, 12.15)"
31,11:04:07,0:16:24,"(-9.56148375, -0.61193496, -0.38245935)","(37.199999999999996, 20.099999999999998, 35.25)"
32,11:04:18,0:16:34,"(-8.108138219999999, 0.15298374, 5.010217485)","(39.15, 35.85, 1.05)"
33,11:04:28,0:16:45,"(-3.36564228, -0.91790244, 9.064286595)","(7.6499999999999995, 40.8, -17.849999999999998)"
34,11:04:39,0:16:55,"(-9.484991879999999, -0.45895122, 0.038245935)","(38.55, 9.75, 31.049999999999997)"
35,11:04:50,0:17:6,"(-9.79095936, -0.344213415, 0.07649187)","(37.949999999999996, 8.4, 31.95)"
36,11:05:00,0:17:16,"(-9.484991879999999, -1.45334553, -0.49719715499999995)","(40.8, 31.2, 25.349999999999998)"
37,11:05:11,0:17:27,"(-11.665010175, -0.07649187, -1.5298374)","(46.199999999999996, 36.449999999999996, 21.45)"
38,11:05:21,0:17:38,"(-9.446745945, -0.650180895, -1.22386992)","(46.8, 18.0, 5.25)"
39,11:05:32,0:17:48,"(-9.064286595, -0.53544309, 0.91790244)","(44.55, 20.7, -1.05)"
40,11:05:42,0:17:59,"(-9.599729685, -0.420705285, -0.8031646349999999)","(45.6, 18.599999999999998, 1.95)"
41,11:05:53,0:18:9,"(-9.599729685, -0.8031646349999999, -0.420705285)","(44.1, 18.9, 1.5)"
42,11:06:03,0:18:20,"(-9.523237815, -0.53544309, -0.573689025)","(45.75, 19.2, 1.3499999999999999)"
43,11:06:14,0:18:30,"(-9.599729685, -1.07088618, -0.650180895)","(45.75, 18.599999999999998, 2.85)"
44,11:06:25,0:18:41,"(-9.370254075, -0.53544309, -0.956148375)","(46.8, 18.75, 4.35)"
45,11:06:36,0:18:52,"(-9.523237815, -0.49719715499999995, -0.879656505)","(46.5, 18.9, 4.05)"
46,11:06:46,0:19:2,"(-9.599729685, -0.53544309, -0.956148375)","(46.949999999999996, 18.0, 3.5999999999999996)"
47,11:06:57,0:19:13,"(-9.523237815, -0.68842683, -0.650180895)","(47.1, 19.2, 2.1)"
48,11:07:07,0:19:24,"(-9.523237815, -0.61193496, -0.84141057)","(47.1, 18.75, 3.5999999999999996)"
49,11:07:18,0:19:34,"(-9.446745945, -0.53544309, -0.7649187)","(46.65, 19.05, 2.4)"
50,11:07:28,0:19:44,"(-9.56148375, -0.53544309, -0.84141057)","(46.8, 19.349999999999998, 3.5999999999999996)"
51,11:07:39,0:19:55,"(-9.523237815, -0.573689025, -0.84141057)","(46.35, 19.65, 3.3)"
52,11:07:49,0:20:6,"(-9.523237815, -0.573689025, -0.8031646349999999)","(46.8, 19.5, 2.6999999999999997)"
53,11:08:00,0:20:16,"(-9.523237815, -0.61193496, -0.8031646349999999)","(46.8, 19.8, 4.35)"
54,11:08:10,0:20:27,"(-9.637975619999999, -0.573689025, -0.68842683)","(47.55, 20.4, 4.35)"
55,11:08:21,0:20:37,"(-9.56148375, -0.45895122, -0.879656505)","(46.8, 20.7, 4.2)"
56,11:08:31,0:20:48,"(-9.676221555, -0.53544309, -0.91790244)","(46.5, 19.05, 4.8)"
57,11:08:42,0:20:58,"(-9.523237815, -0.53544309, -0.8031646349999999)","(46.199999999999996, 19.2, 4.2)"
